sid,name,state,pre_avg,post_avg,delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta,wht_pre,wht_post,wht_delta,ecd_pre,ecd_post,ecd_delta
3414670,Scotch Plains-Fanwood School District,NJ,0.7300051384388193,0.5673577913593294,-0.1626473470794899,424.8888888888889,0.10829762368523568,0.9468046171771031,0.9960198906122809,0.04921527343517784,0.7581285269827056,0.5374861490631774,-0.22064237791952823,0.2392564489996451,,
4218840,Pennsbury SD,PA,0.5294724087910064,0.36776791540010906,-0.16170449339089737,763.4444444444445,0.05756650675970344,1.1575542412714972,0.8288336512949662,-0.328720589976531,0.5696200294009016,0.41981990756834753,-0.1498001218325541,0.0906498883065943,-0.1011679677675303,-0.1918178560741246
2511220,Stoneham,MA,0.5858054877568281,0.4249093738924113,-0.16089611386441677,178.0,0.0,,,,0.5940370593317418,0.5141605438626168,-0.079876515469125,0.2287743122316113,-0.24152650482834,-0.4703008170599513
3910029,Wadsworth City,OH,0.5158341317655926,0.35699930800628726,-0.1588348237593053,332.55555555555554,0.0,,,,0.5319266754045405,0.370255273730222,-0.16167140167431854,0.11254475057893473,-0.08349499256542875,-0.19603974314436348
2636660,Zeeland Public Schools,MI,0.4946883321286293,0.3361835274192444,-0.15850480470938488,430.22222222222223,0.0,,,,0.5830374547458466,0.4391603654348306,-0.14387708931101595,0.22411541370807575,-0.05136359032606924,-0.275479004034145
2632550,Spring Lake Public Schools,MI,0.8153433263220595,0.6577179688299195,-0.15762535749214002,176.88888888888889,0.0,,,,0.8377931352305817,0.6627002297265734,-0.17509290550400836,0.4422065330637888,0.2737205492685988,-0.16848598379519003
5515990,Wauwatosa School District,WI,0.5032230001511203,0.3474242926169882,-0.1557987075341321,486.3333333333333,0.02512908777969019,0.21032055998042107,,,0.7797774356222253,0.6777604675054975,-0.10201696811672789,-0.18626712376814936,-0.36994706067016897,-0.1836799369020196
1721180,Kinnikinnick CCSD 131,IL,0.5379623233646216,0.3826238157129951,-0.1553385076516265,183.88888888888889,0.0,,,,0.5631141747161021,0.4332443324676305,-0.12986984224847165,0.2450413463359797,-0.0262582345269677,-0.2712995808629474
1805450,Lake Central School Corporation,IN,0.508916682983709,0.35372073318661995,-0.155195949797089,662.5555555555555,0.011224489795918367,0.6906085407245465,0.9514641561095173,0.2608556153849708,0.5802288428115324,0.43478768266754625,-0.14544116014398617,0.1689322519832622,0.032486444456153785,-0.13644580752710841
4225590,West Jefferson Hills SD,PA,0.5671465613180171,0.4171887560115745,-0.1499578053064426,226.77777777777777,0.0,,0.2774776898251913,,0.5789589866820809,0.45102026452827104,-0.12793872215380986,0.22647860216037932,0.10459653980904578,-0.12188206235133354
4220550,Rose Tree Media SD,PA,0.8485987908771813,0.6987651784203468,-0.14983361245683446,293.1111111111111,0.039414414414414414,1.2877599124705668,0.9852284234647812,-0.3025314890057855,0.8498404842923272,0.687752327967034,-0.16208815632529316,0.2523373069883989,0.08448488235595807,-0.16785242463244082
408850,Vail Unified District (4413),AZ,0.5161534436386258,0.36653785626689367,-0.14961558737173214,1029.625,0.012668095887741182,1.0580677933252947,,,0.6837507492474776,0.5095924332983813,-0.17415831594909625,0.09888345112970795,-0.0293920231208346,-0.12827547425054256
3412900,Pequannock Township School District,NJ,0.9007820386375772,0.7512018852745598,-0.14958015336301744,150.11111111111111,0.0,,,,0.9289304080337227,0.749883121269116,-0.17904728676460668,,,
3409330,Mahwah Township Public School District,NJ,0.8686295243069057,0.7209445955246344,-0.14768492878227124,211.33333333333334,0.1709470304975923,1.2750759212028686,1.2079712548662915,-0.06710466633657708,0.8510879854247497,0.7024501045420135,-0.14863788088273622,0.09833679599642044,-0.12616286954542227,-0.2244996655418427
3410500,Monroe Township School District,NJ,0.6200975511719578,0.4731285005407621,-0.14696905063119564,518.6666666666666,0.5104804901644631,0.9592051647669947,0.7357534214885285,-0.22345174327846618,0.28762579298377494,0.13003868789957218,-0.15758710508420276,-0.17855348351207398,-0.31050590046351645,-0.13195241695144247
5307920,Shoreline School District,WA,0.5081966215494094,0.36125925874922515,-0.1469373628001842,736.8888888888889,0.10717488789237668,0.36062770036196745,0.472881655257962,0.11225395489599455,0.6896646934307581,0.5680415519395514,-0.12162314149120668,-0.1277409316504686,-0.28586731273325866,-0.15812638108279006
1812870,West Lafayette Community School Corporation,IN,0.8125988526375759,0.6662414636147153,-0.14635738902286066,171.0,0.0,1.443473697384274,0.9975947050821299,-0.445878992302144,0.7954772314016282,0.6752440681368209,-0.12023316326480726,-0.08599950271682603,0.010040154453891932,0.09603965717071797
