sedaadmin,sedaadminname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
622500,Long Beach Unified,rla,3,2023,CA,-.0201295946303135,4474,.3335358288546867,308,-.4887138259044034,526,-.1974156542835714,2654,.7440092241014943,567,-.2741455314536949,2895,.4726931451993022,1579
622500,Long Beach Unified,rla,3,2024,CA,-.0274535216225591,4397,.4913570933732038,320,-.4718111967063516,520,-.2231461095404787,2566,.7882492156680844,530,-.2732696382955098,2981,.5334945048771976,1416
622500,Long Beach Unified,rla,3,2025,CA,-.0829563892953428,4455,.4642207383973118,278,-.5250148001058701,502,-.2917262190648122,2671,.7384946826382355,585,-.3948919534507241,2846,.5040810309940702,1609
622500,Long Beach Unified,rla,4,2009,CA,-.3308727212850076,6502,,,,,,,,,-.5400529027807962,4683,.2777190487943764,1819
622500,Long Beach Unified,rla,4,2010,CA,-.2875478959587541,6365,,,,,,,,,-.4782631733627065,4621,.2934705861970531,1744
622500,Long Beach Unified,rla,4,2011,CA,-.2424089492336397,6194,.2433361107983903,478,-.4883519985518923,919,-.443878678696096,3315,.4214258521785959,1008,-.4339904318572907,4513,.3686419486409946,1681
622500,Long Beach Unified,rla,4,2012,CA,-.2973536033425893,6115,-.0019964806220841,756,-.5434769030688483,936,-.4806160637650339,3324,.4492787094358641,932,-.502304698354782,4416,.3512709541614878,1699
622500,Long Beach Unified,rla,4,2013,CA,-.260381175747851,5998,.1069928750073868,762,-.4630179952368403,869,-.4717033522471934,3295,.493870143146445,892,-.4841220660485817,4177,.3475722577670413,1821
622500,Long Beach Unified,rla,4,2015,CA,-.2525085750301285,5960,.1858239819125136,702,-.6735558893709936,755,-.4647434731673175,3418,.5434498400295873,802,-.4773174720794245,4214,.3553128026038295,1746
622500,Long Beach Unified,rla,4,2016,CA,-.20303705257973,5871,.1407576691971524,662,-.5623604856965744,694,-.3772706799596907,3439,.5061076093683945,742,-.4125630673700605,4221,.3670490098036803,1650
622500,Long Beach Unified,rla,4,2017,CA,-.0597678532786779,5661,.2915879707230647,596,-.3790759114119258,719,-.2329392049618627,3297,.6786665834983971,688,-.2596424456057391,4080,.5372881511460036,1581
622500,Long Beach Unified,rla,4,2018,CA,-.0260188395602921,5581,.3581069427355416,603,-.3442315939746574,652,-.2317225666817809,3249,.6924221257815806,689,-.2355730224661818,4065,.5770336384409253,1516
622500,Long Beach Unified,rla,4,2019,CA,.0142677750233239,5240,.355397893703792,555,-.3747412453414563,632,-.1277800379367307,3058,.6281929937406271,620,-.194849255709398,3801,.5961510540966037,1439
622500,Long Beach Unified,rla,4,2022,CA,-.0960330978426321,4786,.3448086353784486,317,-.5452934780534064,589,-.2589088541093114,2892,.7244223918301946,540,-.3683661251700161,2631,.2476148667034331,2155
622500,Long Beach Unified,rla,4,2023,CA,-.1090844190500027,4762,.4275030924958734,323,-.4996667029817485,573,-.3255009501444888,2871,.7651169178150716,538,-.3608841122413894,3170,.4528979477274829,1592
622500,Long Beach Unified,rla,4,2024,CA,-.0852507612424666,4431,.3352516652776693,310,-.6063957570185803,521,-.2624808683671924,2619,.7030492164245581,561,-.2932197124376691,3070,.4273821773703265,1361
622500,Long Beach Unified,rla,4,2025,CA,-.1021989145214425,4427,.4544936192130095,313,-.4878640598636924,502,-.3077378875427784,2615,.6067566493604108,531,-.3920878002000696,2846,.4201994988974633,1581
622500,Long Beach Unified,rla,5,2009,CA,-.3623457492848757,6590,,,,,,,,,-.5758033962924889,4819,.2552050785610329,1771
622500,Long Beach Unified,rla,5,2010,CA,-.2611130965899627,6415,,,,,,,,,-.455591798242248,4621,.2747541475817507,1794
622500,Long Beach Unified,rla,5,2011,CA,-.274151142297108,6253,,,,,,,,,-.4624245228310658,4553,.2877923257978864,1700
622500,Long Beach Unified,rla,5,2012,CA,-.229302540883314,6108,.1125359355338274,787,-.4452552978372075,901,-.4437346650944129,3257,.4382230561775262,1001,-.4499845101970346,4372,.3683444551280024,1736
622500,Long Beach Unified,rla,5,2013,CA,-.2442554088827617,5963,-.0103629747758787,742,-.4074035292844511,896,-.4337838196562039,3256,.4224723709727302,916,-.4453773854028535,4168,.2672353575207389,1795
622500,Long Beach Unified,rla,5,2015,CA,-.1743209174123979,5842,.1730525830066084,712,-.4556632285721108,790,-.354128415705636,3278,.4759708590482441,833,-.3658697439445133,4132,.3250496740171109,1710
622500,Long Beach Unified,rla,5,2016,CA,-.1685605945301774,5878,.1996210958942037,692,-.6024415228570755,746,-.3298688719029977,3355,.4625127642104939,796,-.3518099445696592,4198,.3102053425691824,1680
622500,Long Beach Unified,rla,5,2017,CA,-.0558655380450066,5765,.2577719538212292,643,-.3582572585015414,677,-.229752264422661,3369,.6365580419789717,742,-.2747393567924249,4142,.5759497854021556,1623
622500,Long Beach Unified,rla,5,2018,CA,-.0087839442891827,5616,.3579492269674531,586,-.3317964954584936,721,-.1610706682523693,3270,.6438406374307905,674,-.2120806189998598,4049,.5501514033535407,1567
622500,Long Beach Unified,rla,5,2019,CA,.0332795235765314,5453,.4494611490647473,610,-.3171026220707837,636,-.1569621062940388,3156,.7364047730439612,677,-.1612008169781164,3958,.5815256137983132,1495
622500,Long Beach Unified,rla,5,2022,CA,-.0222376894169789,4811,.4596241467863756,342,-.5255715380439209,641,-.1714962040468709,2805,.6560584190166726,544,-.2662956297565117,2641,.2909911320436349,2170
622500,Long Beach Unified,rla,5,2023,CA,-.0452414991222395,4753,.4757988301057678,307,-.4291759850123845,609,-.2107956273016732,2866,.7165206704840573,519,-.2453921727483032,3229,.4300406364544163,1524
622500,Long Beach Unified,rla,5,2024,CA,-.1290280652965218,4714,.5284234035385674,315,-.5070293653555245,567,-.3057427617009242,2851,.523956379221422,530,-.3108216668425986,3332,.3397171658860131,1382
622500,Long Beach Unified,rla,5,2025,CA,-.0617519575402555,4460,.3143613259771699,314,-.4844662777776308,528,-.2229613735613324,2657,.6238395654360663,540,-.3303782765730167,2905,.4605562850465625,1555
624500,Milpitas Unified,rla,3,2009,CA,-.0457621000828008,778,,,,,,,,,-.5376068422544628,289,.2358934664864781,489
624500,Milpitas Unified,rla,3,2010,CA,-.0068041030535651,707,,,,,,,,,-.3993252960122217,285,.2612579130046927,422
624500,Milpitas Unified,rla,3,2011,CA,-.0172123979170777,763,,,,,,,,,-.4712760440811334,287,.2438088403719043,476
624500,Milpitas Unified,rla,3,2012,CA,.0244418869605569,785,.2698823198663748,513,,,-.7082590885049026,170,-.0501456999650336,57,-.4198477293122877,304,.28486901591143,481
624500,Milpitas Unified,rla,3,2013,CA,.0576925732944551,735,.3095969530163011,495,-.4244041134058118,20,-.7144157148017504,153,.3209564843108758,40,-.5447194777228388,318,.4708033999380643,417
624500,Milpitas Unified,rla,3,2015,CA,.3618023010557097,776,.5117472224706795,538,,,-.1544066384196722,158,.709002478879771,38,-.0652169687184448,269,.5731900418170385,507
624500,Milpitas Unified,rla,3,2016,CA,.2959306796024955,745,.5882625208715203,485,,,-.4880470105129787,162,.2923314138183745,49,-.3283481050127818,256,.6053996121706494,489
624500,Milpitas Unified,rla,3,2017,CA,.3411481955690705,748,.5513400408940478,502,,,-.3205393363141427,153,.4989930745528688,40,-.1512546508797742,281,.6217612619450982,467
624500,Milpitas Unified,rla,3,2018,CA,.4246616314699854,719,.6526333805105031,470,,,-.3650142352212165,140,.428243612514665,47,-.1960737395263435,277,.8088713371271146,442
624500,Milpitas Unified,rla,3,2019,CA,.3787506063519073,735,.5813943096220373,517,,,-.4834828015845657,116,.1694381945299049,35,-.0758483162032191,263,.6093865186515807,472
624500,Milpitas Unified,rla,3,2022,CA,.6071652606294349,754,.9418103484739235,435,,,-.3855218884885433,138,,,-.0693978930998295,202,.8418183293024201,552
624500,Milpitas Unified,rla,3,2023,CA,.5117332453792733,776,.9861228744876631,440,,,-.6264301618791153,149,.437347453044014,29,-.1630907155718031,266,.8496277597523896,510
624500,Milpitas Unified,rla,3,2024,CA,.4051920583949083,775,.7535727752722555,450,,,-.601142735630052,145,.5683660146002946,34,-.1932266973154425,327,.7700711397828276,448
624500,Milpitas Unified,rla,3,2025,CA,.3985303697038508,750,.8134412132048436,429,,,-.6576287648584143,140,.2850129342651282,36,-.2115296407539206,280,.7533041336997246,470
624500,Milpitas Unified,rla,4,2009,CA,-.0074286302550392,722,,,,,,,,,-.559989441904681,275,.3956713168443549,447
624500,Milpitas Unified,rla,4,2010,CA,.0181229780538971,795,,,,,,,,,-.4767879343284947,331,.4027292449799331,464
624500,Milpitas Unified,rla,4,2011,CA,.1256129475997444,723,,,,,,,,,-.2377713867407932,294,.382568544914053,429
624500,Milpitas Unified,rla,4,2012,CA,.1294140110430183,776,.285753455289652,514,-.4907041822360292,21,-.4707075315747565,154,.3001636008027249,57,-.3719785089442692,292,.4134351169893715,484
624500,Milpitas Unified,rla,4,2013,CA,.1373897373906471,797,.3637364908817855,526,,,-.5826784609615571,163,.1631152778161278,60,-.2660890784831914,342,.4266980123377456,455
624500,Milpitas Unified,rla,4,2015,CA,.3897738325666182,755,.6487569201400315,516,,,-.3351329643821241,151,.1814360087479778,42,-.1516212403055649,283,.7591166987936039,472
624500,Milpitas Unified,rla,4,2016,CA,.4597067671422731,795,.668032711583427,545,,,-.3012001511999152,168,.5916797482935009,39,-.0498284555337697,262,.6846835418121495,533
624500,Milpitas Unified,rla,4,2017,CA,.345028594946376,739,.6364828733238197,475,-.6334488272568743,20,-.4375343603853297,163,.4917475680173363,43,-.2299086184835682,285,.6730999273862328,454
