district,subgroup,pre_2017_19,post_2022_25,delta
Roanoke County PS,Hispanic,0.1176,-0.1106,-0.2282
Roanoke County PS,EconDis,-0.0146,-0.1811,-0.1665
Roanoke County PS,Not-ECD,0.5048,0.3696,-0.1352
East Hartford SD,All,-0.3279,-0.3557,-0.0278
East Hartford SD,White,0.0251,0.1848,0.1597
East Hartford SD,Black,-0.2899,-0.3299,-0.0400
East Hartford SD,Hispanic,-0.4851,-0.5002,-0.0151
East Hartford SD,EconDis,-0.4685,-0.4665,0.0020
East Hartford SD,Not-ECD,-0.0490,-0.1076,-0.0586
Bethlehem Area SD,All,-0.0845,-0.3308,-0.2462
Bethlehem Area SD,Asian,0.6651,0.2387,-0.4264
Bethlehem Area SD,White,0.2685,0.0822,-0.1863
Bethlehem Area SD,Black,-0.3425,-0.5949,-0.2524
Bethlehem Area SD,Hispanic,-0.4030,-0.6435,-0.2406
Bethlehem Area SD,EconDis,-0.3838,-0.6244,-0.2406
Bethlehem Area SD,Not-ECD,0.4358,0.1093,-0.3265
East Chicago,All,-0.6560,-0.8858,-0.2297
East Chicago,Black,-0.8379,-1.0061,-0.1682
East Chicago,Hispanic,-0.5200,-0.7528,-0.2328
East Chicago,EconDis,-0.6688,-0.8029,-0.1342
East Chicago,Not-ECD,-0.8929,-1.1390,-0.2461
Sikeston R-6,All,-0.2904,-0.5651,-0.2747
Sikeston R-6,White,0.0479,-0.2993,-0.3471
Sikeston R-6,Black,-0.7792,-0.9902,-0.2110
Sikeston R-6,EconDis,-0.4850,-0.5651,-0.0801
Wayne County PS,All,-0.1848,-0.4220,-0.2372
Wayne County PS,Asian,0.1655,-0.0981,-0.2636
Wayne County PS,White,0.1996,-0.0096,-0.2092
Wayne County PS,Black,-0.4602,-0.6902,-0.2300
Wayne County PS,Hispanic,-0.3635,-0.5353,-0.1718
Wayne County PS,EconDis,-0.3930,-0.6003,-0.2073
Wayne County PS,Not-ECD,0.1571,-0.1449,-0.3020
Dover SD,All,0.1084,0.1499,0.0415
Dover SD,White,0.1307,0.2097,0.0791
Dover SD,EconDis,-0.4228,-0.4071,0.0156
Dover SD,Not-ECD,0.3280,0.3716,0.0436
College Community SD,All,0.0106,-0.0428,-0.0534
College Community SD,White,0.1262,0.1239,-0.0022
College Community SD,Hispanic,-0.0557,-0.4116,-0.3559
College Community SD,EconDis,-0.4872,-0.5564,-0.0692
College Community SD,Not-ECD,0.2581,0.2397,-0.0184
