sedalea,sedaleaname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
625130,Modesto City Elementary,rla,4,2012,CA,-.5934457765068414,1691,-.4184943519486158,100,-.6910001640663653,61,-.7214713122982518,1116,-.1920962593660264,347,-.7207923778954936,1443,.2617716160514291,248
625130,Modesto City Elementary,rla,4,2013,CA,-.650651062507266,1660,-.5475425117044543,86,-.7858015516772707,53,-.7577118253919483,1122,-.2634100451450411,335,-.770218734392098,1411,.0255066546075729,249
625130,Modesto City Elementary,rla,4,2015,CA,-.6315016111647341,1716,-.223089602076904,78,-.9653615531114249,46,-.7104684075358428,1178,-.2294945961261921,288,-.7233222201792787,1480,.081259784415574,236
625130,Modesto City Elementary,rla,4,2016,CA,-.7399740127108982,1788,-.5491924724686894,83,-1.341379465925552,43,-.8215200891092969,1257,-.3068132118308586,260,-.8159820531909181,1566,.0658507444404495,222
625130,Modesto City Elementary,rla,4,2017,CA,-.6553863464745253,1777,-.1407193439679529,85,-.931847403229262,34,-.7803895428776482,1195,-.2522315868221503,306,-.7493543388251542,1554,.1702344107630206,223
625130,Modesto City Elementary,rla,4,2018,CA,-.633880113922068,1707,-.2637765966986558,93,-.9807956879181381,42,-.7033938438801096,1161,-.275938293710196,271,-.713478986067962,1513,.1788220878108726,194
625130,Modesto City Elementary,rla,4,2019,CA,-.6397592572667581,1630,-.1075083579784613,86,-1.138629308799452,33,-.7287469221911759,1147,-.249549107012747,251,-.7417446644272285,1409,.0396183224344711,221
625130,Modesto City Elementary,rla,5,2009,CA,-.5297664992677009,1621,-.4524083649800553,83,-.6110664221277357,82,-.7347094303942636,1054,.0552262685698424,373,-.7129001368171962,1315,.2780481187458879,306
625130,Modesto City Elementary,rla,5,2010,CA,-.5579392265219828,1617,-.3363376408686195,81,-.7326130503746398,65,-.7517705091059239,999,-.0803092842439657,392,-.7020803828168101,1371,.2821992135722811,246
625130,Modesto City Elementary,rla,5,2011,CA,-.6060670104249625,1644,-.6007256237813412,67,-.8842249720602099,66,-.7599052383037911,1078,-.1088367806273428,357,-.7307158519164151,1378,.1091854530053329,266
625130,Modesto City Elementary,rla,5,2012,CA,-.6780039266443928,1668,-.6331172694139433,95,-.653014023291716,68,-.8210187476740823,1156,-.1408497199639648,310,-.7888205179132927,1451,.1531294197181286,217
625130,Modesto City Elementary,rla,5,2013,CA,-.5483571632789642,1677,-.4122678455417411,94,-.731849637579552,65,-.677369666694114,1109,-.1277459605080268,346,-.6662764385279397,1419,.2062284259854645,258
625130,Modesto City Elementary,rla,5,2015,CA,-.6612625113818187,1657,-.3802762662601034,84,-.9686158218193285,53,-.7809095421230418,1124,-.2076362626511249,293,-.7821496230719904,1414,.0893348023475878,243
625130,Modesto City Elementary,rla,5,2016,CA,-.6541728056486563,1758,-.3261297715395207,71,-1.010352620939119,47,-.7492303058498307,1220,-.1918934101158548,295,-.7494783146235497,1502,.0739708402666788,256
